discipline,rank,school_name,school_url,student_faculty_ratio,grad_rate,retention_rate,accept_rate,enroll_rate,aid_rate,default_rate,description,street_address,city,state,zip,website,program_page,logo_url
Criminal Justice,2,King University,https://www.king.edu,11 to 1,43%,76%,57%,35%,69%,8%,"Located in Bristol, Tennessee, King University offers a bachelor's of science in criminal justice . The degree can open doors to careers in child and family law, state and federal law enforcement, and in the prison and probate systems. King offers a course on restorative justice that focuses on repairing and restoring relationships between victims and criminals. Students must complete 48 credits in the major with a total of 124 credits to graduate. Students can complete the degree in as few as 16 months. The online program has specific start and end dates and is not self-paced. To apply for the major, students must have 45 hours of prior college coursework completed. All students must pass a general education exam before graduating from King and receiving a diploma.",1350 King College Rd,Bristol,Tennessee,37620-2699,https://www.king.edu,https://online.king.edu/online-degree-programs/bachelor-of-science-in-criminal-justice/,
Criminal Justice,3,Norwich University,https://www.norwich.edu,10 to 1,46%,71%,66%,33%,64%,5%,"Norwich University is well-respected in both the military and in the public sphere. The school ranks as one of the top online schools in the nation, according to U.S. News and World Report . The online bachelor of science in criminal justice gives students the flexibility to attend class and complete coursework at their own pace each week. Students can pursue a concentration in intelligence and security management or choose electives that support their desired career path. Students conduct field work and complete a capstone project that highlights legal and ethical issues in the field. Norwich offers three program start dates a year. Applicants must have 30 credits of prior college work to be accepted into the major. Students with significant college coursework may transfer up to 90 credits. Upon review, admissions will consider military training and achievements for credit.",158 Harmon Drive,Northfield,Vermont,05663-1035,https://www.norwich.edu,https://online.norwich.edu/academic-programs/bachelors/criminal-justice,
Criminal Justice,4,Dallas Baptist University,https://www.dbu.edu,13 to 1,41%,72%,46%,38%,63%,8%,"Dallas Baptist University takes a Christ-centered approach to education. All students receive a well-rounded liberal arts education coupled with leadership and service to Christ. DBU’s online bachelor of arts and science in criminal justice features coursework in homeland and organizational security, multicultural perspectives, and juvenile delinquency. Students participate in interactive online classes comprised of chat rooms, emails, and discussion threads. Students must complete 120 credit hours to graduate from the online criminal justice program. For students interested in transferring into DBU, at least 30 credits must be completed at the school with a minimum of 12 credits specific to the major. To graduate, students must have a cumulative GPA of 2.0 or higher.",3000 Mountain Creek Parkway,Dallas,Texas,75211-9299,https://www.dbu.edu,https://www3.dbu.edu/humanities/criminal_justice.asp,
Criminal Justice,5,Keiser University-Ft Lauderdale,https://www.keiseruniversity.edu,12 to 1,44%,75%,49%,68%,69%,18%,"Keiser University located in Fort Lauderdale, Florida, offers an online criminal justice bachelor degree at more than 20 campus locations in Florida and online. Students take exciting courses, such as victimology and deviant behavior. The criminal justice curriculum at Keiser prepares students for careers in the court system, law enforcement, and private security. Students must finish 120 credits to complete their degree. There are no prerequisites for entering the major. For transfer students, the school accepts an associate degree or previous credits from regionally accredited schools. Students who attended non-regionally accredited schools will need their class credits evaluated by a faculty member for potential approval.",1500 NW 49th St.,Fort Lauderdale,Florida,33309,https://www.keiseruniversity.edu,https://www.keiseruniversity.edu/criminal-justice-ba/,
Criminal Justice,6,Philadelphia University,https://www.philau.edu,13 to 1,44%,79%,64%,22%,72%,5%,"In 2017, Thomas Jefferson University and Philadelphia University merged to create Jefferson. The history of this academic institution spans more than 300 years. Students work together in an educational atmosphere inside and outside of the classroom environment. Their online program takes into account the ever-changing job market and worldwide marketplace. Jefferson's online BS in law enforcement is designed for students who want leadership roles in law enforcement and corrections. Students take classes in police administration and planning for law enforcement organizations. Jefferson accepts students on an ongoing basis and offers several times throughout the year. Most students complete the BS in law enforcement in two to three years. The degree requires distance learners to complete 120 credit hours. Each course lasts eight weeks.",4201 Henry Avenue,Philadelphia,Pennsylvania,19144-5497,https://www.philau.edu,https://online.jefferson.edu/online-degrees/,
Criminal Justice,7,Mercer University,https://www.mercer.edu,13 to 1,43%,80%,67%,28%,65%,5%,"Located in Macon, Georgia, Mercer University is rated one of the best 382 colleges by the Princeton Review . The online criminal justice leadership degree covers classes in forensic behavior, victimology, and cybercrime. Mercer’s program features field-based learning so that students can apply classroom study with hands-on experience. Prerequisites in this major include introductory classes in psychology and sociology. Mercer requires 120 credits to graduate. The university runs on semesters and online students follow a similar calendar as on-campus students. Mercer accepts transfer credits from regionally accredited schools. Applicants should have a 2.5 GPA or higher. Mercer offers on-campus information workshops for interested students as well as online webinars for distance learners.",1501 Mercer University Drive,Macon,Georgia,31207,https://www.mercer.edu,https://liberalarts.mercer.edu/academic-programs/majors-and-minors/criminal-justice/,
Criminal Justice,8,Buena Vista University,https://www.bvu.edu,9 to 1,42%,73%,68%,24%,82%,7%,"Buena Vista University in Storm Lake, Iowa offers an online bachelor’s degree in criminology and criminal justice . Graduates from this program seek jobs in the judicial system, criminal justice system, and in law enforcement. Classes in criminal justice include criminal justice systems, modern social problems, judicial process, and criminological theory. Online classes start every eight weeks. BVU accepts transfer students with an associate degree or 60 credit hours from an accredited school. Admission staff also consider CLEP exams and life and work experience for credits. BVU provides students with financial specialists that can help them calculate costs of tuition and choose which program is the best for their lifestyle. Applicants are encouraged to work with an advisor when going through the application process. Students will continue to work with an advisor throughout their schooling to plan a course of study to complete the program.",610 W 4th St,Storm Lake,Iowa,50588,https://www.bvu.edu,https://www.bvu.edu/programs/undergraduate/psychology-social-science/criminology-and-criminal-justice,
Criminal Justice,9,Indiana Wesleyan University-Marion,https://www.indwes.edu,16 to 1,69%,84%,95%,45%,70%,7%,"Indiana Wesleyan University is a Christian college nestled in the Indiana town of Marion. The 100% online bachelor of science in criminal justice degree includes courses in forensics, constitutional law, probation and parole, cybercrime, and restorative justice. Classes meet once a week. Professors have both professional and academic experience. The online bachelor’s in criminal justice culminates in a capstone project based on an ongoing challenge in the modern-justice system. Students must have 60 credits before starting the degree. IWU offers a bridge program students that have 36 to 59 credits but have not already completed an associate degree. The program can be completed in approximately 18 months.",4201 South Washington Street,Marion,Indiana,46953-4974,https://www.indwes.edu,https://www.indwes.edu/adult-graduate/programs/bs-criminal-justice/,
Criminal Justice,10,Saint Joseph's College-New York,https://www.sjcny.edu,11 to 1,52%,83%,71%,24%,54%,6%,"Located in Brooklyn, St. Joseph’s College offers a comprehensive online BS in criminal justice practice and policy . Students receive a well-rounded liberal arts education as well as in-depth courses in law and criminal theory. Notable classes include crime analysis, criminology, and race, class, and gender in criminal justice. Students learn from expert criminologists and apply their knowledge with hands-on experiences. The school conducts rolling admission so students can be accepted year round. The online criminal justice degree requires 120 credit hours for completion. St. Joseph's accepts up to 90 transfer credits.",245 Clinton Ave,Brooklyn,New York,11205-3688,https://www.sjcny.edu,https://www.sjcny.edu/online/criminal-justice,
Criminal Justice,11,Hampton University,http://www.hamptonu.edu,9 to 1,41%,80%,29%,16%,75%,12%,"Hampton University’s accelerated BS in criminal justice allows students to complete their bachelor’s degree in a short amount of time. Students in this major take diverse classes such as homeland security, terrorism & national security, and forensics crime scene investigation. The program requires 120 hours to graduate. Students who complete an approved internship receive three credits towards their major. Classes run on an eight-week schedule and students can take up to six credits per cycle. Students do not have to attend class at a specific time, but must adhere to assignment submission dates. Timed exams are taken online and submitted directly to the professor. Most courses do not require students to visit campus.",E Queen Street,Hampton,Virginia,23668-0099,http://www.hamptonu.edu,http://universitycollege.hamptonu.edu/page/Bachelor-of-Science-Degree-in-Public-Safety--Criminal-Justice-Concentration,
Criminal Justice,12,Loyola University Chicago,https://www.luc.edu,14 to 1,52%,86%,63%,18%,61%,5%,"The criminal justice online degree at Loyola University is designed for current criminal justice professionals seeking greater responsibility in their organizations. The BA in applied criminal justice leadership features coursework in investigation management, advanced criminal procedure, organizational leadership in criminal justice, and conflict management. Since the program was created for working professionals, classes are asynchronous so students can complete coursework on their own schedule. Classes are offered in five eight-week sessions per year. Transfer students can apply 15 credit hours from an approved school towards their major. In order to receive transfer credit, students must have received a GPA of 2.0 or above. Any required class meetings are scheduled for the evenings or weekends.",1032 W. Sheridan Rd,Chicago,Illinois,60660,https://www.luc.edu,https://www.luc.edu/criminaljustice/bscriminaljusticecriminology/,
Criminal Justice,13,Pennsylvania State University-Main Campus,https://www.psu.edu/,17 to 1,65%,93%,50%,32%,50%,7%,"Penn State’s World Campus serves nearly 18,000 online students. Established in 1998, the World Campus offers 150 online certificate and degree programs. Penn State’s online bachelor of science in criminal justice has received numerous accolades, including the prestigious Academy of Criminal Justice Sciences (ACJS) certification. Distance learners take courses in ethics in criminal justice and alternatives to incarceration. Students have the option to add a minor in homeland security by completing an additional 18 credits. This minor provides students with more job opportunities due to the increase in terror concerns. To graduate, students must complete 120 credits. Transfer students must earn 36 of the final credits at Penn State. In order to receive credit for previous college courses, students must have earned a “C” grade or above and hold a 2.0 GPA.  All credit transfers from other colleges are subject to approval by the academic admissions.",201 Old Main,University Park,Pennsylvania,16802-1503,https://www.psu.edu/,https://www.worldcampus.psu.edu/degrees-and-certificates/criminal-justice-bachelors/overview,
Criminal Justice,14,Southwestern Assemblies of God University,https://www.sagu.edu,16 to 1,26%,74%,33%,71%,74%,13%,"The online criminal justice degree program at Southwestern Assemblies of God University in Waxahachie, Texas, was created in 2006 after an increase in demand for jobs in the field. The BA in criminal justice prepares students to pursue careers as homicide detectives, FBI agents, crime scene investigators, DEA agents, or state troopers. What sets SAGU apart from other schools is its unique approach to blending criminal theory with a biblical point of view on justice. SAGU offers an experiential learning credit program for students with relevant work experience. Students can earn up to 45 credits by demonstrating their expertise and knowledge during a three-hour course. Online programs are more affordable than on-campus classes. SAGU requires students provide evidence that supports they are born-again Christians living a biblically based lifestyle.",1200 Sycamore,Waxahachie,Texas,75165,https://www.sagu.edu,https://www.sagu.edu/admissions/bachelors-degree-in-criminal-justice,
Criminal Justice,15,Midway University,https://www.midway.edu,15 to 1,51%,80%,58%,35%,71%,11%,"Located in Kentucky, Midway University offers a 100% online bachelor of science degree in criminal justice . This program features a strong foundation in psychology, with students taking courses in forensic psychology, psychopharmacology, and abnormal psychology. Students also complete coursework in criminal organizations, interviewing, and terrorism. The college employs faculty with real-world criminal justice job and career experience. Students must complete 120 credit hours to graduate. The University Career Readiness Service Center assists students with finding job opportunities. The center also helps students research additional qualifications they may need to obtain those positions. Midway offers competitive tuition costs and payment plans. Courses follow an eight-week schedule with five start dates each year.",512 E. Stephens St,Midway,Kentucky,40347-1120,https://www.midway.edu,https://www.midway.edu/majors-programs/online-programs/criminal-justice/,
Criminal Justice,16,Ashland University,https://www.ashland.edu,13 to 1,43%,77%,73%,26%,58%,5%,"Founded in 1878, Ashland University has a long history of providing students with a strong liberal arts education. The online bachelor’s degree in criminal justice instructs students in both theory and practical skills. Students take courses in criminal profiling, gangs and cults, ethics, and the role of police in modern society. Classes are offered in eight-week cycles. Students who already work in law enforcement or corrections in the State of Ohio may be eligible for work-related credits. Incoming freshmen should have a 2.5 GPA or above and transfer students should have grades of ""C"" or above. Transfer students are welcome at Ashland. The school hosts events called “Transfer Thursdays” where prospective students can meet with admissions and do a full transcript review. Ashland also offers online and on-campus tours for potential students.",401 College Avenue,Ashland,Ohio,44805,https://www.ashland.edu,https://www.ashland.edu/graduate-admissions/online-criminal-justice-degree-ashland-university,
Criminal Justice,17,University of Mount Olive,https://www.umo.edu,13 to 1,34%,70%,47%,28%,74%,8%,"Founded in North Carolina in 1951, the University of Mount Olive is a private school with a Christian heritage. UMO’s bachelor of science in criminal justice and criminology covers foundational coursework in theory, justice systems, law, and research methods. Students also learn about contemporary issues such as drugs, crime, and society. Faculty and instructors have practical on-the-job experience in the criminal justice field. Distance learners can watch class videos, complete assignments, and participate in group discussions on their own schedule. UMO is one of the most transfer-friendly schools in the country, accepting up to 94 prior credits. The school also accepts credits earned through CLEP/DANTES exams and Basic Law Enforcement Training (BLET). Applicants must be at least 21 and have a GPA of 2.0 or higher.",634 Henderson St,Mount Olive,North Carolina,28365-0919,https://www.umo.edu,https://umo.edu/bs-criminal-justice-and-criminology/,
Criminal Justice,18,Pfeiffer University,http://www.pfeiffer.edu,12 to 1,37%,66%,47%,30%,75%,8%,"Pfeiffer University is a small, liberal arts college located in Misenheimer, North Carolina. Pfeiffer’s online programs are geared towards working professionals. The online bachelor of science in criminal justice allows students to choose from a concentration in pre-law, financial fraud and fraud examination, or homeland security. Notable courses include ethics in criminal justice, white collar crime investigation, terrorism, emergency management, and constitutional law. Before graduation, students will need to take exit exams, including an educational proficiency test and a test within their major title. Pfeiffer welcomes transfer students and grants credits for life experiences.  The university offers a “Partnership Program” through several employers that provides employees with a 20% discount on tuition. Pfeiffer operates on a rolling admissions basis, so students learn if they are accepted into the program within weeks of applying.",48380 US Hwy 52N,Misenheimer,North Carolina,28109,http://www.pfeiffer.edu,http://www.pfeiffer.edu/academics/programs/criminal-justice-bs-undergraduate,
Criminal Justice,19,Florida State University,http://www.fsu.edu,26 to 1,53%,92%,55%,36%,47%,6%,"A top research university, Florida State University offers 351 degree programs. FSU’s online bachelor’s degree in criminology was rated one of the best online criminal justice programs by U.S. News & World Report . Students take classes in victimology, religion and crime, crimes against humanity, violence in America, and crime victimization and the media. Prerequisites for the program include an associate of arts from a Florida school or completion of FSU core requirements. Students may select a minor or internship. Transfer students may only apply nine prior credits to the major. Transfer students must have earned a 2.0 GPA and must have a grade of ""C"" or higher in certain core classes.",222 S. Copeland Street,Tallahassee,Florida,32306-1037,http://www.fsu.edu,http://criminology.fsu.edu/degrees/online-degree-programs/online-bachelors-program/,
Criminal Justice,20,SUNY College at Oswego,https://www.oswego.edu/,18 to 1,38%,80%,48%,27%,69%,7%,"SUNY College at Oswego offers 110 majors and minors to its 8,000 students. The school’s online bachelor’s degree in public justice focuses on the social sciences behind the criminal justice system. The faculty members have extensive experience in forensics and the justice system. Students in this online bachelor's in criminal justice program can choose from a concentration in criminal justice, human services, or legal studies. Online courses operate on a semester schedule and start on the same date as on-campus classes. Instructors may require students to log in and submit work a certain number of times each week. Most students in the program complete a practicum, applying what they’ve learned in the classroom to a real-life setting. SUNY at Oswego provides an excellent internship program for students that can be applied for college credit. The school offers both paid and non-paid internships.",7060 State Route 104,Oswego,New York,13126,https://www.oswego.edu/,https://www.oswego.edu/programs/undergraduate/online-criminal-justice-ba,
Criminal Justice,21,Concordia University-Wisconsin,https://www.cuw.edu,13 to 1,35%,74%,75%,33%,67%,6%,"Closely tied to the Lutheran church, Concordia University has been providing a Christian education for more than 125 years. Concordia is based out of Mequon, Wisconsin and has locations throughout Wisconsin and Michigan. The online bachelor’s degree in management of criminal justice is designed for students who wish to take on leadership roles in law enforcement agencies. The 128 credit program includes coursework in procedural criminal law and criminal investigation. The faculty at Concordia are experts in their field and provide a real-world learning environment for students. Concordia offers an online orientation that teaches new students how to use the program’s technology platform. Classes take 8-10 weeks to finish. Concordia accepts transfer students and allows them to apply up to 80 credits from an approved college. The university also considers real-world experience for credit and accepts military credit. A GPA of 2.0 is necessary to enter the major.",12800 N Lake Shore Dr,Mequon,Wisconsin,53097-2402,https://www.cuw.edu,https://online.cuw.edu/,
Criminal Justice,22,Bushnell University,https://www.bushnell.edu/,15 to 1,33%,70%,72%,30%,81%,5%,"Bushnell University offers an online degree in interdisciplinary studies that allows students to customize their education based on their unique interests and experience. The interdisciplinary degree features an area of study in criminal justice for students interested in law enforcement. Courses offered in the program cover subjects such as terrorism and counter-terrorism, corrections in the 21st century, and criminal law and procedure. Graduates from the criminal justice degree online may find jobs in law enforcement, corrections, courts, or private security. New learners can choose from six enrollment dates each year. Classes run on an eight-week cycle. Transfer students should have a GPA of 2.0 or higher. BU has rolling admissions so students can find out whether they are accepted in a matter of weeks. Once admitted, all learners are assigned an enrollment counselor.",828 E. 11th Ave.,Eugene,Oregon,97401-3745,https://www.bushnell.edu/,https://www.bushnell.edu/academics/online-degree/interdisciplinary-studies-online/,
Criminal Justice,23,Liberty University,https://www.liberty.edu,18 to 1,24%,69%,22%,47%,66%,7%,"Liberty University is a Christian college located in Lynchburg, Virginia in the foothills of the Blue Ridge Mountains. The school opened in 1971 and has offered distance learning programs since 1985. Liberty’s online BS in criminal justice features coursework in crime scene photography and computer and cyber forensics. Students can choose from cognates in juvenile justice, homeland security, criminal psychology, crime scene investigation, business administration and management, strategic intelligence, or public administration. Liberty University offers a 25% discount to employees that work in public service. The school also has military discounts. To graduate, students must accumulate 120 credits. Liberty accepts up to 90 credits from previous college work.",1971 University Blvd,Lynchburg,Virginia,24515,https://www.liberty.edu,https://www.liberty.edu/online/government/bachelors/criminal-justice/,
Criminal Justice,24,Westfield State University,https://www.westfield.ma.edu,17 to 1,44%,77%,75%,32%,62%,5%,"Westfield State University is a Massachusetts state-run college that has been in the business of education for 175 years. The school is historically known for being one of the first colleges to accept people of all races, religions, and financial backgrounds. The online bachelor’s of science in criminal justice is a degree completion program for students who have already completed two years of college courses. Criminal justice classes online include theories of crime, American judicial system, and law enforcement and society. Westfield has a compact with local Massachusetts community colleges allowing students to finish their last two years of school online through Westfield. Classes run on a 15-week semester for fall and spring. There are also two six-week summer sessions and an accelerated two-week winter class. Westfield provides an online orientation for all students participating in the completion program.",577 Western Ave,Westfield,Massachusetts,01086-1630,https://www.westfield.ma.edu,http://www.westfield.ma.edu/academics/degrees/bachelors-criminal-justice,
Criminal Justice,25,University of Central Florida,https://www.ucf.edu/,31 to 1,35%,88%,50%,39%,45%,7%,"The University of Central Florida is located in the often-visited, bustling city of Orlando, Florida. The school has been named one of the nation’s most innovative universities by U.S. News & World Report . UCF offers the online criminal justice degree as both as a bachelor of science and a bachelor of arts. Notable courses include careers in criminal justice, prosecution and adjudication, and crime in America. The program culminates in a justice ethics capstone. Applicants should have a 2.0 GPA or higher. Transfer students are welcome and must submit proper records from accredited schools. UCF accepts up to 60 transfer credits from other schools. The school has a rolling admissions policy. UCF’s low tuition, financial aid programs, and assistance for military and veterans make it one of the most affordable criminal justice colleges in the nation.",4000 Central Florida Blvd,Orlando,Florida,32816,https://www.ucf.edu/,https://www.ucf.edu/online/degree/criminal-justice-b-a-b-s/,
Education,1,LeTourneau University,www.letu.edu,14 to 1,42%,83%,49%,42%,57%,8%,"Located in Longview, Texas, LeTourneau University offers two Christ-centered online degrees in education: the BA in interdisciplinary studies with a teaching certificate in early childhood-6th grade and the BA in interdisciplinary studies with certification for 4-8th grade . Both programs consist of 120 credits that include general core, major, and cognate courses. Both programs require students to complete a 12-credit sequence in theology, along with nine elective credits, with each requiring six credits of student teaching. Students take classes in five-week-long accelerated terms, and certificates may be paired with optional minors in leadership, management, project management, psychology, and reading. Students can enroll during one of nine dates per year, and applicants must submit proof of high school graduation or a GED, transcripts, and ACT or SAT scores. Transfer applicants with fewer than 15 college credits must submit standardized test scores. In-state and out-of-state online students pay the same tuition rate.",2100 S Mobberly Ave,Longview,Texas,75602,www.letu.edu,http://www.letu.edu/opencms/opencms/_Academics/TeacherEducation/degrees/EC-6th_4th-8th_online.html,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852410/logos/letourneau-university.png"
Education,2,Asbury University,www.asbury.edu,12 to 1,64%,81%,69%,33%,70%,6%,"Located in Wilmore, Kentucky, Asbury University’s 124-credit BS in elementary education offers students both general education courses and 82-credit hours immersed in major-related studies. In addition to exposure to education theory, students complete hands-on student teaching and a guided inquiry clinical. The program also includes a three-course sequence in biblical studies and a 12-credit sequence of interdisciplinary liberal arts courses. Applicants need a high school diploma or its equivalent and must submit official transcripts. Letters of reference are also required. The admissions office encourages applicants to contact one of their advisors prior to beginning the application process. Asbury allows students to transfer up to 75 credits from other institutions, and all students pay the same tuition rate irrespective of state residency.",1 Macklem Dr,Wilmore,Kentucky,40390-1198,www.asbury.edu,https://www.asbury.edu/gps/academics/degree-programs/aps-degree-completion/elementary-education,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851652/logos/asbury-university.png"
Education,3,Saint Mary-of-the-Woods College,www.smwc.edu,8 to 1,48%,82%,100%,29%,73%,7%,"Saint Mary-of-the-Woods College’s education degree online prepares graduates for careers as middle and high school language arts teachers or programs directors. Students in the bachelor's in English education (5-12) complete 18 credits of education core courses and 10 credits of developmental core courses. The major consists of 32 credits of creative writing and English content courses., and students finish the curriculum by completing three clinical experiences spread across 17 credits. Clinical experience options include working in a middle school or a high school or a combination of both. To apply, students submit the free online application along with proof of high school graduation or GED scores, official transcripts, and ACT or SAT scores. Programs also require a personal statement, resume, and letter of reference. Although the college is located in Indiana, all students pay the same tuition rate.",1 St Mary of Woods Coll,Saint Mary of the Woods,Indiana,47876-1099,www.smwc.edu,https://www.smwc.edu/academics/departments/education/bachelors-degree-programs/english-education-5-12/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854145/logos/saint-mary-of-the-woods-college.png"
Education,4,University of North Carolina Wilmington,www.uncw.edu,17 to 1,49%,84%,59%,32%,52%,6%,"UNCW’s education degree online prepares graduates for work as K-6 elementary educators. The BA in elementary education consists of 124 semester hours, including general education and core courses. The major consists of 64-credit hours that include a 14-credit hour internship. Students may pursue concentrations in several fields, including behavioral studies, ESL, early childhood, fine arts, international studies, and language arts, among others. After admittance into UNCW, students must complete general education requirements prior to beginning the BA in elementary education at the Watson College of Education. Students who meet the requirements typically enter Watson in their sophomore or junior year. To apply to UNCW, applicants need a high school diploma or GED. Residents of North Carolina pay discounted tuition rates.",601 South College Road,Wilmington,North Carolina,28403-5963,www.uncw.edu,http://uncw.edu/ed/learn/elementaryde.html,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1516055726/logos/199218.gif"
Education,5,Drexel University,www.drexel.edu,10 to 1,27%,84%,76%,8%,56%,4%,"Located in Philadelphia, Pennsylvania, Drexel University offers an online education degree on a part-time basis as a degree completion program to students with prior college credit. Students complete the BS in education in as few as 30 months across 10 quarter terms. The degree provides graduates with PK-4 elementary teacher certification or PK-4 and special education certification. Students must earn a total of 180 quarter credits in order to graduate, including general education and major related courses and 18 quarter credits of student teaching equal to 190 real world hours. Applicants must already possess at least 24 college credits with a GPA of 2.5 or higher at a regionally accredited institution. The school will consider applicants with less than 24 college credits who have been out of high school for more than two years. Applicants must submit standardized test scores and official transcripts.",3141 Chestnut St,Philadelphia,Pennsylvania,19104,www.drexel.edu,http://online.drexel.edu/online-degrees/education-degrees/bs-ed/index.aspx,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1497465254/logos/212054.png"
Education,6,Southwestern Assemblies of God University,www.sagu.edu,16 to 1,26%,74%,33%,71%,74%,13%,"Located in Waxahachie, Texas, SAGU offers several online education degree programs, including a 127-credit BA in elementary education , 127-credit BA in English, language arts and reading (middle and secondary education) , 127-credit BA in history and social studies education , and 120-credit BA in education (pre-professional) . The first three programs lead to teacher certification. All five programs include curriculum that combines general education, social science, natural science, Bible studies, major requirements, and more. Students must also complete student teaching courses. All applicants to SAGU must provide a reference from a Christian leader, and freshman applicants must submit official transcripts and ACT or SAT scores. All students pay the same tuition rate irrespective of state residency.",1200 Sycamore,Waxahachie,Texas,75165,www.sagu.edu,https://www.sagu.edu/admissions/on-campus-online-degrees-at-sagu,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1515110788/logos/228325.jpg"
Education,7,University of Missouri-Columbia,missouri.edu/,20 to 1,47%,86%,78%,40%,47%,5%,"The BES in educational studies with an interdepartmental emphasis consists of 120 credits, 45 of which comprise general education requirements. The interdepartmental emphasis lies not only with educational instruction but with career guidance and occupational analysis, training in human learning and special education, and skills in teaching vocational education to special-needs learners. Students typically complete the program in eight semesters, and many students transfer approximately 60 credits of prior college credit. Freshman applicants must have a high school diploma or its equivalent and must submit ACT or SAT scores. Transfer applicants need at least 24 college credits, including English and math courses equivalent to MU’s, with a cumulative GPA of 2.5 or higher. Missouri residents receive a tuition discount, and the university recommends that prospective students file the FAFSA quickly, as nearly 75% of MU’s students receive financial aid.",105 Jesse Hall,Columbia,Missouri,65211,missouri.edu/,http://online.missouri.edu/degreeprograms/educational-studies/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475854225/logos/university-of-missouri-columbia.png"
Education,8,East Carolina University,www.ecu.edu,18 to 1,33%,81%,77%,38%,57%,5%,"ECU offers two degree completion online education programs: a BS in middle grades education and a BS in elementary education. Students take either degree on-campus at one of North Carolina’s community colleges to complete their general education courses. This includes on-site, full-time teaching courses. Otherwise, students take major courses entirely online. Both degrees take four years to complete for students who attend full-time. To apply, students fill out an online application that determines whether they will commit to full-time or to part-time study. Depending on their choice, applications are due either in January or in February. Applicants should have a 3.0 GPA at the community college level and must submit ACT or SAT scores. East Carolina University is located in Greenville, North Carolina, and state residents pay discounted tuition.",East 5th Street,Greenville,North Carolina,27858-4353,www.ecu.edu,http://www.ecu.edu/cs-educ/partner_east/index.cfm,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475851722/logos/east-carolina-university.png"
Education,9,Liberty University,www.liberty.edu,18 to 1,24%,69%,22%,47%,66%,7%,"Liberty’s bachelor's degree in education online, the BS in elementary education interdisciplinary studies , instructs students in educational methods and interventions. Students can take the 120-credit program entirely online or in curriculum that includes a 300-hour, hands-on practicum for interested students. While the program does not lead to licensure, it serves as a foundation for careers in private schooling, as well as for master’s-level study. To apply, prospective students should submit their official transcripts from prior colleges and high schools, as well as financial aid applications. Applicants must pass a background check. Transfer applicants may transfer up to 90 college credits from prior institutions. Although the university is located in Lynchburg, Virginia, it offers in-state and out-of-state students the same tuition rate. Military personnel are eligible for a discount.",1971 University Blvd,Lynchburg,Virginia,24515,www.liberty.edu,http://www.liberty.edu/online/bachelors/elementary-education/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852410/logos/liberty-university.png"
Education,10,Judson College,www.judson.edu,9 to 1,31%,56%,65%,48%,72%,12%,"Located in Marion, Alabama, Judson College offers three online education degrees leading to teacher certification in Alabama: the BS in elementary education, BA in secondary English/language arts (6-12), and BA in secondary general social studies (6-12). To ensure community-oriented learning, students learn in cohorts. Also, like on-campus students, online students partner with a mentor student and have one-on-one communications with their professors. Students complete general studies core courses before beginning their education classes and must maintain a cumulative GPA of 2.75 or higher in order to graduate. To apply, prospective students must submit high school or college transcripts with a cumulative GPA of 2.0 or higher and a copy of their driver’s license or passport. In-state and out-of-state students pay the same tuition rate.",302 Bibb St,Marion,Alabama,36756,www.judson.edu,http://www.judson.edu/academics/distance-learning/majors-and-minors-dl/education-dl/,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1475852362/logos/judson-college.png"
Education,11,Union Institute & University,www.myunion.edu,8 to 1,20%,67%,100%,35%,78%,6%,"Located in Cincinnati, Ohio, Union’s online education degrees enable graduates to teach at any grade level in Florida schools. Students choose from the BS in elementary education, BS in exceptional student education (K-12), or BS in secondary education. All three programs combine online instruction with on-campus visits at Union’s Miami campus to form hybrid degrees, and all three 120-credit programs allow up to 90 credits to transfer from another institution. Applicants with a high school degree or GED may apply with official transcripts and a personal essay, among other requirements. ACT or SAT scores are not required, and in-state and out-of-state students pay the same tuition rate.",440 E McMillan St,Cincinnati,Ohio,45206-1925,www.myunion.edu,http://programs.myunion.edu/education?lead_source=&lead_medium=&lead_distro=&clickid=&campaign=&ad_group=&network=&device=&keyword=&match_type=&leadfreeform1=&leadfreeform2=,"https://res.cloudinary.com/highereducation/image/upload/f_auto,fl_lossy,q_auto/v1516055726/logos/206279.png"
